DOID_0110706	MONDO_0013649
DOID_573	MONDO_0003615
DOID_4920	MONDO_0024240
DOID_0110117	MONDO_0013767
DOID_0110243	MONDO_0008925
DOID_0050488	MONDO_0000333
DOID_3355	MONDO_0005164
DOID_13500	MONDO_0006777
DOID_0050672	MONDO_0022697
DOID_8771	MONDO_0005717
DOID_6037	MONDO_0003744
DOID_0111634	MONDO_0032776
DOID_0060041	MONDO_0005258
DOID_4117	MONDO_0002881
DOID_4297	MONDO_0007130
DOID_0050096	MONDO_0000242
DOID_0111545	MONDO_0008303
DOID_0110239	MONDO_0012701
DOID_0110361	MONDO_0014871
DOID_9258	MONDO_0018094
DOID_2843	MONDO_0002442
DOID_0070137	MONDO_0013051
DOID_0110513	MONDO_0013471
DOID_0060101	MONDO_0000638
DOID_13382	MONDO_0001700
DOID_8457	MONDO_0019975
DOID_0080456	MONDO_0014947
DOID_6787	MONDO_0003993
DOID_0090016	MONDO_0007925
DOID_0050755	MONDO_0018996
DOID_0080582	MONDO_0032649
DOID_0080522	MONDO_0006468
DOID_3627	MONDO_0005160
DOID_9297	MONDO_0004748
DOID_0110863	MONDO_0008099
DOID_6867	MONDO_0004020
DOID_0110195	MONDO_0011527
DOID_13812	MONDO_0001809
DOID_13691	MONDO_0001778
DOID_4201	MONDO_0002910
DOID_2361	MONDO_0002281
DOID_0111690	MONDO_0010985
DOID_5039	MONDO_0003250
DOID_1114	MONDO_0001204
DOID_0060831	MONDO_0018306
DOID_6564	MONDO_0003926
DOID_0080445	MONDO_0013801
DOID_0080399	MONDO_0012142
DOID_0110767	MONDO_0011522
DOID_0060427	MONDO_0010399
DOID_0060147	MONDO_0000677
DOID_0110548	MONDO_0011350
DOID_4876	MONDO_0003184
DOID_12175	MONDO_0001460
DOID_5655	MONDO_0003568
DOID_0111627	MONDO_0009079
DOID_13110	MONDO_0001635
DOID_0060025	MONDO_0001341
DOID_10458	MONDO_0005823
DOID_0110153	MONDO_0007311
DOID_2231	MONDO_0009315
DOID_5467	MONDO_0003454
DOID_6128	MONDO_0016683
DOID_11874	MONDO_0001396
DOID_0110717	MONDO_0013641
DOID_0110990	MONDO_0014288
DOID_0060485	MONDO_0009341
DOID_0050289	MONDO_0016426
DOID_13250	MONDO_0001673
DOID_2346	MONDO_0002274
DOID_3443	MONDO_0002648
DOID_10325	MONDO_0005960
DOID_1677	MONDO_0002077
DOID_13867	MONDO_0001820
DOID_0111024	MONDO_0014153
DOID_6511	MONDO_0003905
DOID_13098	MONDO_0001633
DOID_0110536	MONDO_0013269
DOID_0110037	MONDO_0011194
DOID_0060176	MONDO_0000698
DOID_1287	MONDO_0004995
DOID_6376	MONDO_0006795
DOID_0050699	MONDO_0015612
DOID_0090136	MONDO_0014341
DOID_3703	MONDO_0006067
DOID_2034	MONDO_0006741
DOID_13031	MONDO_0001618
DOID_4624	MONDO_0008145
DOID_0110702	MONDO_0013017
DOID_3103	MONDO_0005979
DOID_0111717	MONDO_0007410
DOID_0110971	MONDO_0007222
DOID_0080234	MONDO_0030914
DOID_0111614	MONDO_0014845
DOID_14000	MONDO_0001855
DOID_11988	MONDO_0001412
DOID_0080130	MONDO_0014959
DOID_0110525	MONDO_0013119
DOID_384	MONDO_0008685
DOID_14686	MONDO_0019187
DOID_0110743	MONDO_0010862
DOID_13448	MONDO_0001717
DOID_14711	MONDO_0002010
DOID_9507	MONDO_0005756
DOID_0111725	MONDO_0009269
DOID_8670	MONDO_0005451
DOID_6482	MONDO_0003892
DOID_5730	MONDO_0003616
DOID_10780	MONDO_0001115
DOID_14059	MONDO_0001869
DOID_12170	MONDO_0006940
DOID_3274	MONDO_0002585
DOID_0070201	MONDO_0013222
DOID_0111559	MONDO_0032728
DOID_0070287	MONDO_0014173
DOID_5222	MONDO_0003336
DOID_0060140	MONDO_0000670
DOID_9986	MONDO_0004942
DOID_4896	MONDO_0003193
DOID_1724	MONDO_0005412
DOID_6477	MONDO_0003890
DOID_134	MONDO_0001704
DOID_6648	MONDO_0003957
DOID_10969	MONDO_0001170
DOID_14501	MONDO_0010031
DOID_14451	MONDO_0008224
DOID_13268	MONDO_0019142
DOID_0080106	MONDO_0014516
DOID_0110790	MONDO_0012787
DOID_0110393	MONDO_0014093
DOID_3218	MONDO_0002564
DOID_0070141	MONDO_0009054
DOID_0090013	MONDO_0011086
DOID_11981	MONDO_0005139
DOID_0070059	MONDO_0014482
DOID_4676	MONDO_0007008
DOID_1005	MONDO_0000931
DOID_1891	MONDO_0002135
DOID_6016	MONDO_0003732
DOID_1245	MONDO_0001528
DOID_0050202	MONDO_0017872
DOID_9840	MONDO_0004896
DOID_5758	MONDO_0003633
DOID_5463	MONDO_0003452
DOID_7242	MONDO_0004162
DOID_6239	MONDO_0003822
DOID_1036	MONDO_0001014
DOID_12376	MONDO_0009672
DOID_9274	MONDO_0009388
DOID_0050848	MONDO_0007147
DOID_9483	MONDO_0004799
DOID_0080655	MONDO_0000079
DOID_0060218	MONDO_0019563
DOID_12148	MONDO_0017282
DOID_3262	MONDO_0005910
DOID_6676	MONDO_0003962
DOID_0110959	MONDO_0009267
DOID_1361	MONDO_0001757
DOID_0110020	MONDO_0013416
DOID_4359	MONDO_0002971
DOID_0111620	MONDO_0009015
DOID_0110072	MONDO_0011188
DOID_0080484	MONDO_0013948
DOID_0050722	MONDO_0011152
DOID_7968	MONDO_0004416
DOID_0080499	MONDO_0020857
DOID_3325	MONDO_0006792
DOID_9745	MONDO_0004871
DOID_0060200	MONDO_0012753
DOID_0110057	MONDO_0008772
DOID_0070056	MONDO_0014361
DOID_0070275	MONDO_0013699
DOID_3240	MONDO_0002572
DOID_0060018	MONDO_0014276
DOID_0060163	MONDO_0000690
DOID_184	MONDO_0002129
DOID_0060775	MONDO_0009635
DOID_4829	MONDO_0004973
DOID_14130	MONDO_0001885
DOID_1350	MONDO_0005289
DOID_2738	MONDO_0009925
DOID_0060029	MONDO_0000586
DOID_7707	MONDO_0004336
DOID_0110594	MONDO_0009484
DOID_0110291	MONDO_0012723
DOID_0111599	MONDO_0011128
DOID_7	MONDO_0021199
DOID_0060365	MONDO_0014608
DOID_13326	MONDO_0001685
DOID_0060792	MONDO_0014666
DOID_5540	MONDO_0003503
DOID_2834	MONDO_0002438
DOID_6723	MONDO_0003976
DOID_14032	MONDO_0001861
DOID_0111463	MONDO_0014114
DOID_2435	MONDO_0002298
DOID_8081	MONDO_0004453
DOID_11129	MONDO_0001199
DOID_0110811	MONDO_0010878
DOID_8677	MONDO_0004639
DOID_5587	MONDO_0003528
DOID_2527	MONDO_0002331
DOID_8893	MONDO_0005083
DOID_1862	MONDO_0002131
DOID_11577	MONDO_0005693
DOID_14748	MONDO_0019349
DOID_13371	MONDO_0019365
DOID_1129	MONDO_0006908
DOID_0110969	MONDO_0007220
DOID_7460	MONDO_0004231
DOID_7936	MONDO_0004404
DOID_7551	MONDO_0004277
DOID_2457	MONDO_0002308
DOID_0111752	MONDO_0009090
DOID_13775	MONDO_0001795
DOID_180	MONDO_0002119
DOID_4280	MONDO_0002937
DOID_0111063	MONDO_0100251
DOID_4370	MONDO_0002976
DOID_11748	MONDO_0001352
DOID_8552	MONDO_0011996, HP_0005506
DOID_11990	MONDO_0001413
DOID_0050197	MONDO_0017877
DOID_0080037	MONDO_0011878
DOID_422	MONDO_0002921
DOID_4374	MONDO_0006972
DOID_0060556	MONDO_0011706
DOID_5724	MONDO_0003609
DOID_5859	MONDO_0003680
DOID_1756	MONDO_0002098
DOID_11831	MONDO_0001385
DOID_13450	MONDO_0005706
DOID_625	MONDO_0003827
DOID_4731	MONDO_0005659
DOID_11030	MONDO_0006712
DOID_12205	MONDO_0005502
DOID_576	MONDO_0003634
DOID_0070292	MONDO_0013923
DOID_0110434	MONDO_0012745
DOID_1907	MONDO_0002142
DOID_5914	MONDO_0003701
DOID_0110197	MONDO_0011674
DOID_5750	MONDO_0003629
DOID_10519	MONDO_0001052
DOID_6858	MONDO_0004017
DOID_7141	MONDO_0006390
DOID_5146	MONDO_0003300
DOID_9722	MONDO_0004861
DOID_0111657	MONDO_0013973
DOID_4879	MONDO_0003187
DOID_0080476	MONDO_0008953
DOID_0110581	MONDO_0014283
DOID_9948	MONDO_0004931
DOID_6494	MONDO_0003898
DOID_12215	MONDO_0005881
DOID_599	MONDO_0012000
DOID_6871	MONDO_0004024
DOID_9650	MONDO_0004843
DOID_14253	MONDO_0001925
DOID_3315	MONDO_0005106
DOID_0110625	MONDO_0014030
DOID_10802	MONDO_0001125
DOID_0111415	MONDO_0024541
DOID_11963	MONDO_0001409
DOID_0050291	MONDO_0000307
DOID_11079	MONDO_0001191
DOID_6525	MONDO_0003913
DOID_0060023	MONDO_0011735
DOID_0050747	MONDO_0000432
DOID_2425	MONDO_0002293
DOID_4438	MONDO_0002999
DOID_0111281	MONDO_0014494
DOID_4531	MONDO_0003036
DOID_5479	MONDO_0003462
DOID_6148	MONDO_0003784
DOID_0111364	MONDO_0012153
DOID_807	MONDO_0004450
DOID_13306	MONDO_0001681
DOID_0070083	MONDO_0011295
DOID_2526	MONDO_0005082
DOID_0060326	MONDO_0019773
DOID_13576	MONDO_0019805
DOID_496	MONDO_0016222
DOID_11504	MONDO_0001300
DOID_14325	MONDO_0001944
DOID_4385	MONDO_0002979
DOID_8649	MONDO_0004631
DOID_0060903	MONDO_0000831
DOID_0110098	MONDO_0011596
DOID_0110816	MONDO_0011803
DOID_0070039	MONDO_0013656
DOID_0111535	MONDO_0008153
DOID_0050915	MONDO_0000530
DOID_0060818	MONDO_0010285
DOID_0110994	MONDO_0014770
DOID_3923	MONDO_0006539
DOID_0080637	MONDO_0000062
DOID_0111732	MONDO_0010803
DOID_10040	MONDO_0000928
DOID_1969	MONDO_0006497
DOID_0060742	MONDO_0009613
DOID_0070019	MONDO_0013520
DOID_0111267	MONDO_0018889
DOID_4075	MONDO_0002868
DOID_8050	MONDO_0004444
DOID_3525	MONDO_0006857
DOID_0110314	MONDO_0012111
DOID_10973	MONDO_0001173
DOID_12176	MONDO_0005397
DOID_2151	MONDO_0018364
DOID_0110654	MONDO_0013279
DOID_1022	MONDO_0000979
DOID_5160	MONDO_0006659
DOID_2982	MONDO_0006900
DOID_4650	MONDO_0003075
DOID_0110041	MONDO_0011777
DOID_169	MONDO_0019496
DOID_2580	MONDO_0015776
DOID_0060307	MONDO_0015802
DOID_0080202	MONDO_0004971
DOID_2839	MONDO_0002440
DOID_0070172	MONDO_0014847
DOID_2764	MONDO_0006201
DOID_0080575	MONDO_0009511
DOID_0060677	MONDO_0013529
DOID_2354	MONDO_0005868
DOID_0070049	MONDO_0014035
DOID_9779	MONDO_0004880
DOID_0111579	MONDO_0008834
DOID_0110631	MONDO_0009679
DOID_2352	MONDO_0006507
DOID_4790	MONDO_0003144
DOID_0111474	MONDO_0012191
DOID_0110657	MONDO_0014052
